"chi_id_source","chp_nom_source","cht_rev_source","cht_genere_source","che_binaire_source","chx_dossier_id_source","cht_commentaire_source","chd__dtm_source","chd__dtc_source","che__nur_source","che_contient_version_source","che_autorisation_globale_source","cht_condition_js_source","cht_condition_rev_source","cht_notification_ko_source"
"88","x_ecran_coordonnees1_c.js",NULL,NULL,"0","2",NULL,"2000-01-01 00:00:00.000","2000-01-01 00:00:00.000","0","0","0",NULL,NULL,NULL
"89","x_ecran_coordonnees1_s.js",NULL,NULL,"0","2",NULL,"2000-01-01 00:00:00.000","2000-01-01 00:00:00.000","0","0","0",NULL,NULL,NULL
"94","groupes1_c.js",NULL,NULL,"0","2","les groupes","2000-01-01 00:00:00.000","2000-01-01 00:00:00.000","0","0","0",NULL,NULL,NULL
"95","groupes1_s.js",NULL,NULL,"0","2","les groupes","2000-01-01 00:00:00.000","2000-01-01 00:00:00.000","0","0","0",NULL,NULL,NULL
"96","metiers1_c.js",NULL,NULL,"0","2","les métiers","2000-01-01 00:00:00.000","2000-01-01 00:00:00.000","0","0","0",NULL,NULL,NULL
"97","metiers1_s.js",NULL,NULL,"0","2","les métiers","2000-01-01 00:00:00.000","2000-01-01 00:00:00.000","0","0","0",NULL,NULL,NULL
"98","acces1_s.js",NULL,NULL,"0","2","les accès","2000-01-01 00:00:00.000","2000-01-01 00:00:00.000","0","0","0",NULL,NULL,NULL
"99","acces1_c.js",NULL,NULL,"0","2","les accès","2000-01-01 00:00:00.000","2000-01-01 00:00:00.000","0","0","0",NULL,NULL,NULL
"101","utilisateurs1_c.js",NULL,NULL,"0","2","les utilisteurs","2000-01-01 00:00:00.000","2000-01-01 00:00:00.000","0","0","0",NULL,NULL,NULL
"102","utilisateurs1_s.js",NULL,NULL,"0","2","les utilisteurs","2000-01-01 00:00:00.000","2000-01-01 00:00:00.000","0","0","0",NULL,NULL,NULL
"103","sources1_c.js",NULL,NULL,"0","2","les sources","2000-01-01 00:00:00.000","2000-01-01 00:00:00.000","0","0","0",NULL,NULL,NULL
"104","sources1_s.js",NULL,NULL,"0","2","les sources","2000-01-01 00:00:00.000","2000-01-01 00:00:00.000","0","0","0",NULL,NULL,NULL
"105","autorisations1_c.js",NULL,NULL,"0","2","les autorisations","2000-01-01 00:00:00.000","2000-01-01 00:00:00.000","0","0","0",NULL,NULL,NULL
"106","autorisations1_s.js",NULL,NULL,"0","2","les autorisations","2000-01-01 00:00:00.000","2000-01-01 00:00:00.000","0","0","0",NULL,NULL,NULL
"107","menus1_c.js",NULL,NULL,"0","2","les menus","2000-01-01 00:00:00.000","2000-01-01 00:00:00.000","0","0","0",NULL,NULL,NULL
"108","menus1_s.js",NULL,NULL,"0","2","les menus","2000-01-01 00:00:00.000","2000-01-01 00:00:00.000","0","0","0",NULL,NULL,NULL
"1000","x_ecran_a_propos1_c.js",NULL,NULL,"0","2",NULL,"2000-01-01 00:00:00.000","2000-01-01 00:00:00.000","0","0","1",NULL,NULL,NULL
"1011","taches1_c.js",NULL,NULL,"0","2","mes tâches","2000-01-01 00:00:00.000","2000-01-01 00:00:00.000","0","0","0",NULL,NULL,NULL
"1012","taches1_s.js",NULL,NULL,"0","2","mes tâches","2000-01-01 00:00:00.000","2000-01-01 00:00:00.000","0","0","0",NULL,NULL,NULL
