"chi_id_autorisation","chp_nom_autorisation","chx_acces_autorisation","chx_source_autorisation"
"1","mes tâches dev","1","90"
"2","sources","1","103"
"3","utilisateurs","1","101"
"4","autorisations","1","105"
"5","métiers pour dev","1","96"
"6","menus","1","107"
"7","accés","1","99"
"9","groupes","1","94"
"10","mes coordonnées","1","88"
"11","les tâches dev","1","92"
"12","mes coordonnées","2","88"
"13","mes tâches admin","2","90"
"14","mes coordonnées","2","89"
"15","mes tâches admin","2","91"
